PLOT_ID,CENTER_LON,CENTER_LAT,SIZE_M,SHAPE,FLAGGED,ANALYSES,SAMPLE_POINTS,USER_ID,ANALYSIS_DURATION,COLLECTION_TIME,PL_LONGITUDE,PL_LATITUDE,PL_FID_REFDTA,PL_CID,PL_FID_CUT_20,PL_NIVEL2,PL_NIV2_INT,PL_BUFF_DIST,PL_ORIG_FID,PL_TRUENIV2_I,PL_PLOTID,CLASES DE ELEMENTOS DE PAISAJE:ARBOL NATIVO,CLASES DE ELEMENTOS DE PAISAJE:ARBOL DE PLANTACION,CLASES DE ELEMENTOS DE PAISAJE:ARBOL DE MANGLE,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION HERBECEA/PASTOS,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION ARBUSTIVA,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION DE PARAMO,CLASES DE ELEMENTOS DE PAISAJE:AGUA NATURAL,CLASES DE ELEMENTOS DE PAISAJE:AGUA ARTIFICIAL,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION DE HUMEDALES,CLASES DE ELEMENTOS DE PAISAJE:CULTIVOS,CLASES DE ELEMENTOS DE PAISAJE:ESTRUCTURA DE VIVIENDA,CLASES DE ELEMENTOS DE PAISAJE:CONSTRUCCION DE INFRAESTRUCTURA,CLASES DE ELEMENTOS DE PAISAJE:CARRETERAS Y LOTES,CLASES DE ELEMENTOS DE PAISAJE:VEGETACION DE ASENTAMIENTOS,CLASES DE ELEMENTOS DE PAISAJE:SUELO DESNUDO,CLASES DE ELEMENTOS DE PAISAJE:NIEVE/HIELO,CLASES DE ELEMENTOS DE PAISAJE:OTRAS/NUBE
1,-76.31548098,-1.935512656,30.0,square,false,0,25,,,,-76.31548098,-1.935512656,22635,7,7,NATURAL,3,20,15389,0,22635_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-79.31536451,-1.434262902,30.0,square,false,0,25,,,,-79.31536451,-1.434262902,22636,7,7,NATURAL,3,20,20229,0,22636_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-77.56003836,-2.225219904,30.0,square,false,0,25,,,,-77.56003836,-2.225219904,22638,7,7,NATURAL,3,20,12820,0,22638_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-79.9920013,-1.966314607,30.0,square,false,0,25,,,,-79.9920013,-1.966314607,21300,7,7,NATURAL,3,20,15263,0,21300_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-75.18949439,-0.970014817,30.0,square,false,0,25,,,,-75.18949439,-0.970014817,23969,7,7,NATURAL,3,20,23417,0,23969_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-78.47726669,-1.436824999,30.0,square,false,0,25,,,,-78.47726669,-1.436824999,4971,1,1,AREA SIN COBERTURA VEGETAL,2,20,20192,0,4971_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-77.53570354,-2.075865884,30.0,square,false,0,25,,,,-77.53570354,-2.075865884,21309,7,7,NATURAL,3,20,14333,0,21309_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-77.40999033,-2.630730355,30.0,square,false,0,25,,,,-77.40999033,-2.630730355,23962,7,7,NATURAL,3,20,8922,0,23962_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-76.66383408,-2.516748527,30.0,square,false,0,25,,,,-76.66383408,-2.516748527,23963,7,7,NATURAL,3,20,9833,0,23963_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-79.31167344,-3.90077061,30.0,square,false,0,25,,,,-79.31167344,-3.90077061,4969,1,1,AREA SIN COBERTURA VEGETAL,2,20,2991,0,4969_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-78.83709776,-2.304898027,30.0,square,false,0,25,,,,-78.83709776,-2.304898027,29268,9,9,PLANTACION FORESTAL,4,20,11856,0,29268_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-80.4045805,-1.113873032,30.0,square,false,0,25,,,,-80.4045805,-1.113873032,2300,0,0,AREA POBLADA,1,20,22297,0,2300_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-77.91053849,-3.012508066,30.0,square,false,0,25,,,,-77.91053849,-3.012508066,4961,1,1,AREA SIN COBERTURA VEGETAL,2,20,6849,0,4961_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-79.8627227,-2.643917071,30.0,square,false,0,25,,,,-79.8627227,-2.643917071,3634,1,1,AREA SIN COBERTURA VEGETAL,2,20,8858,0,3634_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-79.71000975,-2.223479192,30.0,square,false,0,25,,,,-79.71000975,-2.223479192,29262,9,9,PLANTACION FORESTAL,4,20,12891,0,29262_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
