PLOT_ID,CENTER_LON,CENTER_LAT,SIZE_M,SHAPE,FLAGGED,ANALYSES,SAMPLE_POINTS,USER_ID,ANALYSIS_DURATION,COLLECTION_TIME,PL_LONGITUDE,PL_LATITUDE,PL_PLOTID,PL_FID_REFDTA,PL_NIVEL2,LAND COVER:PRIMARY TREE,LAND COVER:SECONDARY TREE,LAND COVER:PLANTATION TREE,LAND COVER:MANGROVE,LAND COVER:HERBACEOUS/GRASS VEGETATION,LAND COVER:SHRUB VEGETATION,LAND COVER:PARAMO VEGETATION,LAND COVER:CROPS,LAND COVER:NATURAL WATER,LAND COVER:ARTIFICIAL WATER,LAND COVER:WETLAND VEGETATION,LAND COVER:HOUSING STRUCTURE,LAND COVER:INFRASTRUCTURE,LAND COVER:ROADS AND LOTS,LAND COVER:SETTLEMENT VEGETATION,LAND COVER:BARE GROUND,LAND COVER:SNOW/ICE,LAND COVER:OTHER,LAND COVER:CLOUDS/UNINTERPRETABLE
1,-79.70510274,-0.178631833,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-29T21:50:04.299133,-79.70510274,-0.178631833,88,27705,PLANTACION FORESTAL,64.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-78.41985703,-1.670887984,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T23:39:49.373791,-78.41985703,-1.670887984,89,15085,GLACIAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3,-78.52947592,-2.390221459,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T19:05:37.425384,-78.52947592,-2.390221459,110,36073,VEGETACION ARBUSTIVA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-79.21770085,-4.343208975,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T19:06:03.735896,-79.21770085,-4.343208975,111,40961,VEGETACION HERBACEA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-79.38751671,-4.33955892,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T19:11:50.380548,-79.38751671,-4.33955892,112,40703,VEGETACION HERBACEA,36.0,0.0,0.0,0.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
6,-80.20144376,-2.383071202,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T19:12:02.148184,-80.20144376,-2.383071202,113,32108,TIERRA AGROPECUARIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-77.24355309,0.059195691,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T23:38:44.926527,-77.24355309,0.059195691,114,3042,AREA SIN COBERTURA VEGETAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
8,-79.27838649,-4.329940423,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T19:13:22.915972,-79.27838649,-4.329940423,115,40751,VEGETACION HERBACEA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-79.99418649,-1.396859381,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-30T19:13:52.428350,-79.99418649,-1.396859381,116,33357,TIERRA AGROPECUARIA,0.0,4.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-79.67875358,0.931154916,30.0,square,false,0,25,stevedale2613@msn.com,,2018-12-29T21:51:57.000712,-79.67875358,0.931154916,90,2853,AREA POBLADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,28.0,56.0,0.0,0.0,0.0,0.0
